junction_id,inc_lanes,int_lanes,stake_number,route_direction,route_code,section_code
-49871,-9066_0 -9066_1,:-49871_0_0 :-49871_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-49499,-8962_0 -8962_1,:-49499_0_0 :-49499_0_1,0.000,upstream,G5,G0005008
-49424,-9180_0 -9180_1,:-49424_0_0 :-49424_0_1,0.000,upstream,G5,G0005006
-25941,-718_0 -718_1,:-25941_0_0 :-25941_0_1,0.000,upstream,G5,G0005008
-49208,-8856_0 -8856_1 -8856_2 -8856_3,:-49208_0_0 :-49208_0_1 :-49208_0_2 :-49208_0_3,0.000,upstream,G5,G0005005
-38895,-9772_0 -9772_1,:-38895_0_0 :-38895_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-38949,-5028_0 -5028_1,:-38949_0_0 :-38949_0_1,0.000,upstream,G5,G0005003
-34428,-16558_0 -16558_1,:-34428_0_0 :-34428_0_1,0.000,upstream,G5,G0005006
-57663,-12288_0 -12288_1,:-57663_0_0 :-57663_0_1,0.000,upstream,G5,G0005007
-57920,-12374_0 -12374_1,:-57920_0_0 :-57920_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-25895,-5922_0 -3834_0 -3834_1,:-25895_0_0 :-25895_1_0 :-25895_1_1,0.000,upstream,G5,G0005006
-58128,-12468_0 -12468_1,:-58128_0_0 :-58128_1_0 :-58128_1_1,0.000,upstream,G5,G0005007
-28380,-15842_0 -15842_1,:-28380_0_0 :-28380_0_1,0.000,upstream,G5,G0005003
-39280,-5156_0 -5156_1,:-39280_0_0 :-39280_0_1,0.000,upstream,G5,G0005007
-25847,-702_0 -702_1 -702_2,:-25847_0_0 :-25847_0_1 :-25847_0_2,0.000,upstream,G5,G0005005
-29221,-1696_0 -1696_1 -1696_2 -1696_3,:-29221_0_0 :-29221_0_1 :-29221_0_2 :-29221_0_3,0.000,upstream,G5,G0005005
-48599,-8612_0 -8612_1,:-48599_0_0 :-48599_0_1,0.000,upstream,G5,G0005003
-47820,-8370_0 -8370_1,:-47820_0_0 :-47820_0_1,0.000,upstream,G5,G0005007
-58634,-16548_0 -16548_1,:-58634_0_0 :-58634_0_1,0.000,upstream,G5,G0005003
-47814,-11618_0 -11618_1,:-47814_0_0 :-47814_0_1,0.000,upstream,G5,G0005007
-47676,-13838_0 -13838_1,:-47676_0_0 :-47676_0_1,0.000,upstream,G5,G0005008
-58757,-16144_0 -16144_1,:-58757_0_0 :-58757_0_1,0.000,upstream,G5,G0005008
-47080,-11428_0 -11428_1 -11428_2,:-47080_0_0 :-47080_0_1 :-47080_0_2,0.000,upstream,G5,G0005006
-34290,-3384#0_0 -3384#0_1 -4232#12_0 -4232#12_1,:-34290_0_0 :-34290_0_1 :-34290_2_0 :-34290_3_0 :-34290_3_1 :-34290_5_0,0.000,upstream,G5,G0005003
2390028601,-4000000059_0 -4000000059_1,:2390028601_0_0 :2390028601_0_1,0.000,upstream,G5,G5京昆高速（西攀段）
-46814,-7986_0 -7986_1,:-46814_0_0 :-46814_0_1,0.000,upstream,G5,G5京昆高速（雅泸段）
-39322,-8650_0 -8650_1,:-39322_0_0 :-39322_0_1,0.000,upstream,G5,G0005003
-61294,-16432_0 -16432_1,:-61294_0_0 :-61294_0_1,0.000,upstream,G5,G5京昆高速（绵广段）
456820723,-4000000022_0 -4000000022_1,:456820723_0_0 :456820723_0_1,0.000,upstream,G5,G5京昆高速（西攀段）
-45336,-7398_0 -7398_1 -7398_2 -7398_3,:-45336_0_0 :-45336_0_1 :-45336_0_2 :-45336_0_3,0.000,upstream,G5,G5京昆高速（成绵段）
-44921,-9626_0 -9626_1,:-44921_0_0 :-44921_0_1,0.000,upstream,G5,G0005003
-39747,-5396_0 -5396_1,:-39747_0_0 :-39747_0_1,0.000,upstream,G5,G0005006
-32947,-10460_0 -10460_1,:-32947_0_0 :-32947_0_1,0.000,upstream,G5,G0005003
