toll_station_id,station_name,square_code,route_code,section_code,longitude,latitude,taz_id,entrance_exit,edge_id,junction_id
252,小溪坝收费站,G00055100300404010,G5,G0005003,105.0116,31.892773,G00055100300404010,entrance,-15642,-30978
252,小溪坝收费站,G00055100300404020,G5,G0005003,105.011711,31.892791,G00055100300404020,entrance,-10704,-54059
253,厚坝收费站,G00055100300304010,G5,G0005003,105.080119,31.982951,G00055100300304010,entrance,-17286.22,J184
253,厚坝收费站,G00055100300304020,G5,G0005003,105.080495,31.982849,G00055100300304020,entrance,-17286.22,J184
254,二郎庙收费站,G00055100300204010,G5,G0005003,105.196155,32.090717,G00055100300204010,entrance,-11540,-56011
254,二郎庙收费站,G00055100300204020,G5,G0005003,105.19627,32.09093,G00055100300204020,entrance,--11540,-34250
255,金子山收费站,G00055100300104010,G5,G0005003,105.328783,32.185076,G00055100300104010,entrance,-6364,-42616
255,金子山收费站,G00055100300104020,G5,G0005003,105.329089,32.184997,G00055100300104020,entrance,-6364,-42616
221,新都收费站,G00055104401101010,G5,G0005005,104.202245,30.816378,G00055104401101010,entrance,-15818,-66139
221,新都收费站,G00055104401102010,G5,G0005005,104.202317,30.816422,G00055104401102010,entrance,-15818,-66139
222,青白江收费站,G00055104400901010,G5,G0005005,104.24021,30.899397,G00055104400901010,entrance,-4610,-37698
222,青白江收费站,G00055104400902010,G5,G0005005,104.239531,30.900005,G00055104400902010,entrance,-16618,-56259
223,广汉收费站,G00055104400801010,G5,G0005005,104.282763,30.942877,G00055104400801010,entrance,-8004,-46839
223,广汉收费站,G00055104400802010,G5,G0005005,104.282925,30.942952,G00055104400802010,entrance,-8004,-46839
224,德阳南收费站,G00055104400601010,G5,G0005005,104.381465,31.068479,G00055104400601010,entrance,-2498,-31899
224,德阳南收费站,G00055104400602010,G5,G0005005,104.381643,31.06836,G00055104400602010,entrance,-2498,-31899
225,德阳收费站,G00055104400501010,G5,G0005005,104.4177,31.132234,G00055104400501010,entrance,-5746,-40934
225,德阳收费站,G00055104400502010,G5,G0005005,104.417616,31.132361,G00055104400502010,entrance,-5746,-40934
226,德阳北收费站,G00055104400401010,G5,G0005005,104.428975,31.241719,G00055104400401010,entrance,-3122,-33592
226,德阳北收费站,G00055104400402010,G5,G0005005,104.429224,31.241723,G00055104400402010,entrance,-3122,-33592
227,白马关收费站,G00055104400301010,G5,G0005005,104.44274,31.271533,G00055104400301010,entrance,-4848,-38435
227,白马关收费站,G00055104400301020,G5,G0005005,104.447804,31.271296,G00055104400301020,entrance,-6648,-43418
227,白马关收费站,G00055104400302010,G5,G0005005,104.443097,31.271922,G00055104400302010,entrance,-4848,-38435
227,白马关收费站,G00055104400302020,G5,G0005005,104.447938,31.271582,G00055104400302020,entrance,-6648,-43418
228,罗江收费站,G00055104400201010,G5,G0005005,104.498726,31.323004,G00055104400201010,entrance,-4518,-37408
228,罗江收费站,G00055104400201020,G5,G0005005,104.501005,31.321009,G00055104400201020,entrance,-7010,-44436
228,罗江收费站,G00055104400202010,G5,G0005005,104.498405,31.322737,G00055104400202010,entrance,-4518,-37408
228,罗江收费站,G00055104400202020,G5,G0005005,104.500742,31.321191,G00055104400202020,entrance,-7010,-44436
229,金山收费站,G00055104400101010,G5,G0005005,104.547092,31.379512,G00055104400101010,entrance,-12158,-57292
229,金山收费站,G00055104400102010,G5,G0005005,104.547306,31.379423,G00055104400102010,entrance,-12158,-57292
231,什邡收费站,G00055104400701010,G5,G0005005,104.32415,30.990192,G00055104400701010,entrance,-16892,-68489
231,什邡收费站,G00055104400702010,G5,G0005005,104.324566,30.990091,G00055104400702010,entrance,-16892,-68489
232,新都北收费站,G00055104401001010,G5,G0005005,104.210745,30.85805,G00055104401001010,entrance,-14784,-64024
232,新都北收费站,G00055104401001020,G5,G0005005,104.219731,30.856738,G00055104401001020,entrance,-9046,-49803
232,新都北收费站,G00055104401002010,G5,G0005005,104.21114,30.85834,G00055104401002010,entrance,-14784,-64024
