id,report_id,类型,开始时间,结束时间,发生地点,车道方向,占用车道情况,所在高速公路,伤亡情况,管控措施,上下行,junction_id,edge_id,inc_lanes,int_lanes,管控开始时间,管控结束时间,管控收费站,管控范围,详细信息,匹配地点
62,14028,交通事故,2025-08-07 22:18:05,2025-08-07 23:46:58,1606.0,广元至绵阳方向,"应急车道,第二车道",G5京昆高速（绵广段）,暂无人员伤亡,,下行,-62985,-1062,-14360_0 -14360_1,:-62985_0_0 :-62985_1_0 :-62985_1_1,2025-08-07 22:42:00,,",258",,"【交通事故首报】2025/8/7 22:18:05,接江明芝报：京昆高速绵广段广元至绵阳方向K1606+000发生一起一辆货车侧翻事故，占用应急车道,第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置,该事件为未达4级事件。",
65,14074,交通事故,2025-08-08 17:36:41,2025-08-08 19:34:20,1593.0,绵阳至广元方向,"第二车道,第三车道",G5京昆高速（绵广段）,暂无人员伤亡,绵广向K1593一辆运输百货的两轴货车侧翻，无人员受伤，占用主车道及应急车道，因处置该事故，江油站至厚坝站入口广元方向封闭。,上行,-58810,-4786#2,-12804_0 -12804_1,:-58810_0_0 :-58810_0_1,2025-08-08 17:37:00,,"255,250,249,247",,"【交通事故首报】2025/8/8 17:36:41,接姜春蓉报：京昆高速绵广段绵阳至广元方向K1593+000发生一起货车侧翻事故事故，占用第二车道,第三车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置绵广向K1593一辆运输百货的两轴货车侧翻，无人员受伤，占用主车道及应急车道，因处置该事故，江油站至厚坝站入口广元方向封闭。,该事件为未达4级事件。",
66,14125,交通事故,2025-08-09 05:37:18,2025-08-09 18:55:42,1754.5,绵阳至成都方向,匝道,G5京昆高速（成绵段）,暂无人员伤亡,,下行,3538591806,-13106,-3000000046_0 -3000000046_1,:3538591806_0_0 :3538591806_0_1,2025-08-09 05:50:00,,",208",,"【交通事故首报】2025/8/9 5:37:18,接岳秋报：京昆高速成绵段绵阳至成都方向K1754+500发生一起单车侧翻事故，占用匝道，目前无人员伤亡，已通知路维到场处置,该事件为未达4级事件。",
70,14209,交通事故,2025-08-09 22:40:42,2025-08-10 00:48:09,1596.0,绵阳至广元方向,第二车道,G5京昆高速（绵广段）,暂无人员伤亡,,上行,-58810,,-12804_0 -12804_1,:-58810_0_0 :-58810_0_1,2025-08-09 23:44:00,,",246,247,249,250,255,244,243,236,225",,"【交通事故首报】2025/8/9 22:40:42,接姚娟报：京昆高速绵广段绵阳至广元方向K1596+000发生一起两辆货车追尾事故，占用第二车道，目前无人员伤亡，已通知高速交警,执法,路维,消防,急救到场处置,该事件为未达4级事件。",
71,14583,交通事故,2025-08-11 15:10:19,2025-08-11 16:40:00,1624.0,绵阳至广元方向,"应急车道,第二车道",G5京昆高速（绵广段）,受伤1人,,上行,-51738,-15950,-15840_0,,2025-08-11 15:25:00,,",225,236,243,244,246,247,249",,"【交通事故首报】2025/8/11 15:10:19,接张欢报：京昆高速绵广段绵阳至广元方向K1624+000发生一起三车追尾（一小车，两货车）事故，占用应急车道,第二车道，目前造成0死亡1受伤，已通知高速交警,执法,路维,消防,急救到场处置,该事件为未达4级事件。",
72,14588,交通事故,2025-08-11 17:44:13,2025-08-11 18:56:13,1596.0,绵阳至广元方向,"应急车道,第一车道",G5京昆高速（绵广段）,暂无人员伤亡,江油站至厚坝站入口广元方向封闭。,上行,-58810,,-12804_0 -12804_1,:-58810_0_0 :-58810_0_1,2025-08-11 18:03:00,,"246,247,249,250,255",,"【交通事故首报】2025/8/11 17:44:13,接何勇报：京昆高速绵广段绵阳至广元方向K1596+000发生一起三小车追尾事故，占用应急车道,第一车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置江油站至厚坝站入口广元方向封闭。,该事件为未达4级事件。",
73,14589,交通事故,2025-08-11 18:28:01,2025-08-11 19:17:28,1624.0,广元至绵阳方向,"第一车道,第二车道",G5京昆高速（绵广段）,暂无人员伤亡,小溪坝站、厚坝站入口绵阳方向封闭。,下行,-53412,-15950,-14240_0 -14240_1,:-53412_0_0 :-53412_0_1,2025-08-11 18:50:00,,"250,255",,"【交通事故首报】2025/8/11 18:28:01,接何勇报：京昆高速绵广段广元至绵阳方向K1624+000发生一起三车追尾事故事故，占用第一车道,第二车道，目前无人员伤亡，已通知高速交警,执法,路维到场处置小溪坝站、厚坝站入口绵阳方向封闭。,该事件为未达4级事件。",
81,14687,交通事故,2025-08-15 16:18:18,2025-08-15 16:47:39,1771.8,绵阳至成都方向,"第一车道,第二车道",G5京昆高速（成绵段）,暂无人员伤亡,,下行,-27536,-3000000326,-12548_0 -12548_1 -12548_2,:-27536_0_0 :-27536_0_1 :-27536_0_2,2025-08-15 16:20:00,,601,,"【交通事故首报】2025/8/15 16:18:18,接杨侹报：京昆高速成绵段绵阳至成都方向K1771+800发生一起三车追尾事故，占用第一车道,第二车道，目前无人员伤亡，已通知高速交警,路维到场处置,该事件为未达4级事件。",
82,14688,交通事故,2025-08-15 16:21:16,2025-08-15 18:02:15,1756.7,成都至绵阳方向,第一车道,G5京昆高速（成绵段）,暂无人员伤亡,,上行,-64586,-9620,-15058_0 -16900_0 -16900_1 -16900_2,:-64586_0_0 :-64586_1_0 :-64586_1_1 :-64586_1_2,2025-08-15 16:22:00,,"601,206",,"【交通事故首报】2025/8/15 16:21:16,接杨侹报：京昆高速成绵段成都至绵阳方向K1756+700发生一起两个三车追尾事故，占用第一车道，目前无人员伤亡，已通知高速交警,执法到场处置,该事件为未达4级事件。",
83,14702,交通管制,2025-08-15 21:24:20,2025-08-15 21:53:39,1669.23,绵阳至广元方向,,G5京昆高速（绵广段）,,因大雨天气，现绵阳北站至科学城站入口广元方向封闭。,上行,-41368,-7944,-5894_0,:-41368_0_0,2025-08-15 21:16:00,2025-08-15 21:50:00,"244,243",绵阳北站 到 科学城站,【交通管制首报】2025/8/15 21:24:20，接江明芝报：因大雾雷雨天气，京昆高速绵广段绵阳北站至科学城站路段交通管制科学城站，绵阳北站入口广元方向关闭，预计小时后解除。,
