gantry_id,interval_start,total_flow,k1,k2,k3,k4,h1,h2,h3,h4,h5,h6
G000551003001210010,480,65,44,0,0,0,3,2,6,3,2,5
G000551003001210010,485,67,47,0,0,0,1,2,9,1,0,7
G000551003001210010,490,59,43,0,0,0,2,1,6,1,0,6
G000551003001210010,495,63,45,0,0,1,1,2,8,0,0,6
G000551003001210010,500,73,56,0,0,0,4,1,7,1,0,4
G000551003001210010,505,66,43,0,0,0,7,2,10,1,0,3
G000551003001210010,510,81,54,0,0,0,4,2,12,4,1,4
G000551003001210010,515,68,50,0,0,0,7,2,6,0,0,3
G000551003001210010,520,82,52,0,0,0,3,3,16,1,2,5
G000551003001210010,525,76,47,0,0,0,5,4,12,1,1,6
G000551003001210010,530,63,44,0,0,0,4,1,9,0,0,5
G000551003001210010,535,85,57,0,0,0,5,2,8,1,1,11
G000551003001220010,480,72,60,0,0,0,3,2,4,1,0,2
G000551003001220010,485,74,55,0,0,1,3,6,9,0,0,0
G000551003001220010,490,79,64,0,0,0,3,3,9,0,0,0
G000551003001220010,495,75,56,0,0,0,1,4,10,1,0,3
G000551003001220010,500,69,56,0,0,0,5,2,5,0,0,1
G000551003001220010,505,67,48,0,0,0,3,6,10,0,0,0
G000551003001220010,510,87,67,0,1,0,7,1,9,1,0,1
G000551003001220010,515,105,82,0,0,0,8,3,12,0,0,0
G000551003001220010,520,104,86,0,1,0,3,7,6,0,0,1
G000551003001220010,525,86,67,1,0,1,2,3,12,0,0,0
G000551003001220010,530,113,95,0,0,0,6,6,6,0,0,0
G000551003001220010,535,82,66,2,0,0,1,5,7,0,0,1
G000551003001310010,480,114,90,0,0,0,4,3,7,3,1,6
G000551003001310010,485,113,87,0,0,0,6,1,9,1,1,8
G000551003001310010,490,109,79,0,0,0,5,3,12,1,0,9
G000551003001310010,495,104,87,0,2,0,4,1,5,0,0,5
G000551003001310010,500,144,121,1,0,2,4,5,8,1,0,2
G000551003001310010,505,145,112,0,1,4,8,1,12,1,0,6
G000551003001310010,510,114,84,0,1,0,11,2,10,3,0,3
G000551003001310010,515,115,89,0,0,0,8,3,9,1,1,4
G000551003001310010,520,129,102,0,1,1,5,3,11,1,2,3
G000551003001310010,525,127,84,0,0,0,8,6,19,1,1,8
G000551003001310010,530,104,78,0,0,0,5,3,11,0,0,7
G000551003001310010,535,120,93,0,0,0,8,1,8,1,0,9
G000551003001320010,480,125,97,1,0,0,6,9,9,1,0,2
G000551003001320010,485,132,109,0,0,2,5,7,8,0,0,1
G000551003001320010,490,120,102,0,0,0,4,2,11,0,0,1
G000551003001320010,495,95,72,0,1,1,4,6,8,1,0,2
G000551003001320010,500,97,76,0,0,0,8,3,9,0,0,1
G000551003001320010,505,107,85,1,1,0,8,4,7,0,0,1
G000551003001320010,510,140,112,0,0,0,10,2,15,1,0,0
G000551003001320010,515,161,136,0,0,0,7,5,13,0,0,0
G000551003001320010,520,127,105,0,1,0,9,5,5,0,0,2
G000551003001320010,525,142,115,1,0,1,8,6,11,0,0,0
G000551003001320010,530,118,102,0,0,0,6,6,4,0,0,0
G000551003001320010,535,118,92,2,0,0,6,6,10,1,0,1
G000551005000210010,480,338,320,3,4,1,10,0,0,0,0,0
G000551005000210010,485,299,280,2,8,2,7,0,0,0,0,0
